"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"772","Normal/Others","WS/MP429/2024-2025/146731-Construction of common work sheds/ common covered sitting area","Chhattisgarh","Gaurela Pendra Marwahi(Collector GPM_IDA)","Construction of shed in Gram Panchayat - Jilda, Vikas Khand - Pendra","Jyotsna Charandas Mahant","KORBA","06-Nov-2025","Images","N/A","3,00,000"
"773","Normal/Others","WS/MP761/2024-2025/146758-Construction of common work sheds/ common covered sitting area","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Artisan shed near Konda Swamy Devasthanam","Arvind Dharmapuri","NIZAMABAD","13-Nov-2025","Images","N/A","3,99,659"
"774","Normal/Others","WS/MP435/2024-2025/147154-Construction of common work sheds/ common covered sitting area","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Construction of Platform at Village-Chirudih (Mahuadih) under Rahe Block, Ranchi.","Sanjay Seth","RANCHI","23-Jul-2025","N/A","N/A","2,27,400"
"775","Normal/Others","WS/MP761/2024-2025/147237-Construction of common work sheds/ common covered sitting area","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Artisan Shed near Peddamma Thalli Temple","Arvind Dharmapuri","NIZAMABAD","06-Jun-2024","N/A","N/A","3,98,457"
"776","Normal/Others","WS/MP582/2024-2025/147393-Construction of common work sheds/ common covered sitting area","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Construction of shed work at Haldhru village, Taluka Kamrej, Surat district","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","12-Mar-2025","N/A","N/A","5,00,000"
"777","Normal/Others","WS/MP18313/2024-2025/147413-Construction of common work sheds/ common covered sitting area","Rajasthan","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","GSSS Surata mein Tin Shed Nirman Kary","RAJ KUMAR ROAT","BANSWARA(ST)","10-Feb-2026","Images","N/A","9,93,995"
"778","Normal/Others","WS/MP18336/2024-2025/147594-Construction of common work sheds/ common covered sitting area","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","PRATHNA SHED- GOVT. UCHHTAR MADHYAMIK SHALA SARORA WARD NO 37 MINI MATA WARD ME","BRIJMOHAN AGRAWAL","RAIPUR","13-Feb-2026","N/A","N/A","7,84,556"
"779","Normal/Others","WS/MP18336/2024-2025/147600-Construction of common work sheds/ common covered sitting area","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","SHED NIRMAN- DURGA MANDIR KE PASS SAHU PARA AMLIDIH, WARD NO 52, DR RAJENDRA PRASAD WARD ME KAMGARO KE LIYE SHED NIRMAN","BRIJMOHAN AGRAWAL","RAIPUR","19-Feb-2026","N/A","N/A","9,98,532"
"780","Normal/Others","WS/MP18048/2024-2025/147774-Construction of common work sheds/ common covered sitting area","Chhattisgarh","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","alekh mahima narawand ke samip shed nirman karya","MAHESH KASHYAP","BASTAR(ST)","05-Mar-2026","Images","N/A","4,86,000"
"781","Normal/Others","WS/MP600/2025-2026/148229-Construction of common work sheds/ common covered sitting area","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Construction of Public Shed  near Talab, Baddu Barar , Pyt. Upper Baddu , Village  Charoli, Billawar,	Kathua","Jitendra Singh","UDHAMPUR","16-Feb-2026","Images","N/A","1,68,000"
"782","Normal/Others","WS/MP761/2024-2025/149044-Construction of common work sheds/ common covered sitting area","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Artisan Shed in Court Complex","Arvind Dharmapuri","NIZAMABAD","13-Nov-2025","Images","N/A","3,99,432"
"783","Normal/Others","WS/MP428/2024-2025/149049-Construction of common work sheds/ common covered sitting area","Chhattisgarh","RAJNANDGAON(DISTRICT COLLECTOR RAJNANDGAON_IDA)","Tin Shed Nirman Kary (sahupara ke samudayik bhavan)","Santosh Pandey","RAJNANDGAON","31-Dec-2024","Images","N/A","2,99,900"
"784","Normal/Others","WS/MP552/2024-2025/149114-Construction of common work sheds/ common covered sitting area","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","PIPRA KOTHI BLOCK KE KVK PIPRA KOTHI ME KISAN SABHAGAR SHED KA VISTARIKARAN  KARYA.","Radha Mohan Singh","PURVI CHAMPARAN","13-Sep-2025","Images","N/A","14,93,533"
"785","Normal/Others","WS/MP444/2024-2025/149425-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","HARDA(District Collector Harda_IDA)","L.No. 211 Dt. 23.10.2024 Police Line Harda me pared ground me Shahid Smarak ke baju me Shade nirman ward No. 32 Shahid Deepsingh Ward","Durga Das Uikey","BETUL(ST)","31-Dec-2025","N/A","N/A","13,21,924"
"786","Normal/Others","WS/MP859/2024-2025/149455-Construction of common work sheds/ common covered sitting area","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","CONSTRUCTION OF SHED AT GARBALIA GIRLS HIGH SCHOOL  IN SEALDANGA GRAM PANCHAYAT UNDER JGATBALLAVPUR PANCHAYAT  SAMITI, DIST- HOWRAH","Kalyan Banerjee","SREERAMPUR","03-Dec-2025","Images","N/A","5,93,122"
"787","Normal/Others","WS/MP18109/2024-2025/150130-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AMARWAH ME BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"788","Normal/Others","WS/MP18109/2024-2025/150131-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BADHAURA ME BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"789","Normal/Others","WS/MP18109/2024-2025/150132-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BAGHAU ME BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"790","Normal/Others","WS/MP18109/2024-2025/150133-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BAMHANI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"791","Normal/Others","WS/MP18109/2024-2025/150134-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BANJARI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"792","Normal/Others","WS/MP18109/2024-2025/150135-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BARAMBABA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"793","Normal/Others","WS/MP18109/2024-2025/150136-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BARI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"794","Normal/Others","WS/MP18109/2024-2025/150137-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BARMANI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"795","Normal/Others","WS/MP18109/2024-2025/150138-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BISUNI TOLA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"796","Normal/Others","WS/MP18109/2024-2025/150139-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHAUPHAL KOTHAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"797","Normal/Others","WS/MP18109/2024-2025/150140-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHHUHIYA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"798","Normal/Others","WS/MP18109/2024-2025/150141-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHULHI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"799","Normal/Others","WS/MP18109/2024-2025/150142-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DEMHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"800","Normal/Others","WS/MP18109/2024-2025/150143-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DEOGARH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"801","Normal/Others","WS/MP18109/2024-2025/150144-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DHANKHORI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"802","Normal/Others","WS/MP18109/2024-2025/150145-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","GHANDHIGRAM BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","07-Nov-2025","N/A","N/A","2,59,942"
"803","Normal/Others","WS/MP18109/2024-2025/150146-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","JHAGARAHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","07-Nov-2025","N/A","N/A","2,59,942"
"804","Normal/Others","WS/MP18109/2024-2025/150147-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KARIMATI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","07-Nov-2025","N/A","N/A","2,59,942"
"805","Normal/Others","WS/MP18109/2024-2025/150148-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KARWAHI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"806","Normal/Others","WS/MP18109/2024-2025/150149-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KHAMH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"807","Normal/Others","WS/MP18109/2024-2025/150150-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DUBARI KALA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","13-Oct-2025","N/A","N/A","2,59,942"
"808","Normal/Others","WS/MP18109/2024-2025/150151-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","PONDI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"809","Normal/Others","WS/MP18109/2024-2025/150152-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KAMACHH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","07-Nov-2025","N/A","N/A","2,59,942"
"810","Normal/Others","WS/MP18109/2024-2025/150153-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BHADAURA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","07-Nov-2025","N/A","N/A","2,59,942"
"811","Normal/Others","WS/MP18109/2024-2025/150154-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","GOTARA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","07-Nov-2025","N/A","N/A","2,59,942"
"812","Normal/Others","WS/MP18109/2024-2025/150155-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","SHANKAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","07-Nov-2025","N/A","N/A","2,59,942"
"813","Normal/Others","WS/MP18109/2024-2025/150156-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","TANSAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","07-Nov-2025","N/A","N/A","2,59,942"
"814","Normal/Others","WS/MP18109/2024-2025/150157-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","RAUHAL BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"815","Normal/Others","WS/MP18109/2024-2025/150158-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KUSMI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","07-Nov-2025","N/A","N/A","2,59,942"
"816","Normal/Others","WS/MP18109/2024-2025/150159-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","SONGARH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"817","Normal/Others","WS/MP18109/2024-2025/150160-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","MAJHIGAWAN BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"818","Normal/Others","WS/MP18109/2024-2025/150161-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHAMRADOL BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"819","Normal/Others","WS/MP18109/2024-2025/150162-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","NEBUHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"820","Normal/Others","WS/MP18109/2024-2025/150163-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","TALA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"821","Normal/Others","WS/MP18109/2024-2025/150164-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","PATHRAULA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"822","Normal/Others","WS/MP18109/2024-2025/150165-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","SAHIJANHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"823","Normal/Others","WS/MP18109/2024-2025/150166-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","SHIKRA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"824","Normal/Others","WS/MP18109/2024-2025/150167-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","TIKRI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"825","Normal/Others","WS/MP18109/2024-2025/150168-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","MAHKHOR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"826","Normal/Others","WS/MP18109/2024-2025/150169-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","MADWAS BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"827","Normal/Others","WS/MP18109/2024-2025/150170-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AGDAL BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"828","Normal/Others","WS/MP18109/2024-2025/150171-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AHIRANTOLA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"829","Normal/Others","WS/MP18109/2024-2025/150172-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AKAURI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","Images","N/A","2,59,942"
"830","Normal/Others","WS/MP18109/2024-2025/150173-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AMILAHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"831","Repair and Renovation","WS/MP18109/2024-2025/150174-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BAGHWAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"832","Normal/Others","WS/MP18109/2024-2025/150175-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BHAINSRAHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"833","Normal/Others","WS/MP18109/2024-2025/150176-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BOKARO BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"834","Normal/Others","WS/MP18109/2024-2025/150177-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BUDHGAUNA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"835","Normal/Others","WS/MP18109/2024-2025/150178-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHANDREH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"836","Normal/Others","WS/MP18109/2024-2025/150179-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHORGADI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"837","Normal/Others","WS/MP18109/2024-2025/150180-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","GUJRED BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"838","Normal/Others","WS/MP18109/2024-2025/150181-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","HANUMANGARH BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"839","Normal/Others","WS/MP18109/2024-2025/150182-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","JAMUNIHA NO 02 BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"840","Normal/Others","WS/MP18109/2024-2025/150183-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","JHAGRI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"841","Normal/Others","WS/MP18109/2024-2025/150184-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","JHALA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"842","Normal/Others","WS/MP18109/2024-2025/150185-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KANDHWAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"843","Normal/Others","WS/MP18109/2024-2025/150186-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KAPURI BEDAULIYAN BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"844","Normal/Others","WS/MP18109/2024-2025/150187-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KARAUDIYA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"845","Normal/Others","WS/MP18109/2024-2025/150188-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KHAIRA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","16-Sep-2025","N/A","N/A","2,59,942"
"846","Normal/Others","WS/MP18109/2024-2025/150189-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KUSHMAHAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"847","Normal/Others","WS/MP18109/2024-2025/150190-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","MANKISAR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"848","Normal/Others","WS/MP18109/2024-2025/150191-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","AMARPUR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"849","Normal/Others","WS/MP18109/2024-2025/150192-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BAGHOR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"850","Normal/Others","WS/MP18109/2024-2025/150193-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BAHARI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"851","Normal/Others","WS/MP18109/2024-2025/150194-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BARBANDHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"852","Normal/Others","WS/MP18109/2024-2025/150195-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","BELAHA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"853","Normal/Others","WS/MP18109/2024-2025/150196-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","CHORAHI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"854","Normal/Others","WS/MP18109/2024-2025/150197-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DAMAK BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"855","Normal/Others","WS/MP18109/2024-2025/150198-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DOL BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"856","Normal/Others","WS/MP18109/2024-2025/150199-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","GODAHI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"857","Normal/Others","WS/MP18109/2024-2025/150200-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","JANAKPUR BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"858","Normal/Others","WS/MP18109/2024-2025/150201-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KARIMATI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"859","Normal/Others","WS/MP18109/2024-2025/150202-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KHORI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"860","Normal/Others","WS/MP18109/2024-2025/150203-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KARAUNDI KALA BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
"861","Normal/Others","WS/MP18109/2024-2025/150204-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","KUBRI BUS STAND KE PAS","DR. RAJESH MISHRA","SIDHI","08-Nov-2025","N/A","N/A","2,59,942"
